Date,Rain state,Rain,Moisture,Temperature,Humidity,Dewpoint,Co2,Species
[2019-08-13 15:37:41.840] ,Not Raining,1011,725,34.84,57.91,25.32,217500,mango
[2019-08-13 15:37:41.889] ,Not Raining,1019,725,34.84,58,25.35,220000,mango
[2019-08-13 15:37:41.889] ,Not Raining,1019,725,34.83,57.94,25.32,215000,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,725,34.84,57.59,25.23,212500,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,725,34.84,57.23,25.13,282500,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,725,34.83,56.91,25.02,212500,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,725,34.83,56.62,24.94,212500,mango
[2019-08-13 15:37:41.889] ,Not Raining,1019,725,34.83,56.4,24.87,255000,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,725,34.83,56.43,24.88,207500,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,725,34.84,56.49,24.91,210000,mango
[2019-08-13 15:37:41.889] ,Not Raining,1019,724,34.82,56.52,24.9,242500,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,725,34.82,56.68,24.95,210000,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,725,34.82,56.97,25.03,210000,mango
[2019-08-13 15:37:41.889] ,Not Raining,1020,724,34.8,57.23,25.09,230000,mango
[2019-08-13 15:37:42.572] ,Not Raining,1020,725,34.82,57.49,25.18,207500,mango
[2019-08-13 15:37:43.910] ,Not Raining,1020,725,34.82,57.68,25.24,210000,mango
[2019-08-13 15:37:45.253] ,Not Raining,1019,724,34.78,57.8,25.24,210000,mango
[2019-08-13 15:37:46.597] ,Not Raining,1020,725,34.8,58,25.31,210000,mango
[2019-08-13 15:37:47.940] ,Not Raining,1019,725,34.81,58,25.32,205000,mango
[2019-08-13 15:37:49.283] ,Not Raining,1020,725,34.75,57.8,25.21,205000,mango
[2019-08-13 15:37:50.621] ,Not Raining,1020,725,34.8,57.48,25.16,205000,mango
[2019-08-13 15:37:51.994] ,Not Raining,1020,725,34.8,57.64,25.21,205000,mango
[2019-08-13 15:37:53.309] ,Not Raining,1020,724,34.75,58.02,25.27,207500,mango
[2019-08-13 15:37:54.654] ,Not Raining,1020,725,34.8,57.93,25.29,210000,mango
[2019-08-13 15:37:55.996] ,Not Raining,1020,725,34.79,57.96,25.29,205000,mango
[2019-08-13 15:37:57.339] ,Not Raining,1020,725,34.74,57.99,25.25,205000,mango
[2019-08-13 15:37:58.683] ,Not Raining,1019,724,34.79,57.77,25.24,205000,mango
[2019-08-13 15:38:00.027] ,Not Raining,1020,724,34.78,57.26,25.08,205000,mango
[2019-08-13 15:38:01.369] ,Not Raining,1020,724,34.72,56.89,24.92,205000,mango
[2019-08-13 15:38:02.710] ,Not Raining,1020,724,34.78,56.68,24.91,205000,mango
[2019-08-13 15:38:04.053] ,Not Raining,1020,725,34.78,56.58,24.88,205000,mango
[2019-08-13 15:38:05.397] ,Not Raining,982,701,34.74,56.54,24.83,205000,mango
[2019-08-13 15:38:06.740] ,Not Raining,1020,725,34.78,56.39,24.82,205000,mango
[2019-08-13 15:38:08.084] ,Not Raining,1020,725,34.77,56.61,24.88,205000,mango
[2019-08-13 15:38:09.426] ,Not Raining,997,710,34.74,57.06,24.98,205000,mango
[2019-08-13 15:38:10.771] ,Not Raining,1020,724,34.75,57.51,25.12,205000,mango
[2019-08-13 15:38:12.112] ,Not Raining,1020,725,34.76,57.7,25.19,207500,mango
[2019-08-13 15:38:13.458] ,Not Raining,1004,714,34.74,57.7,25.17,200000,mango
[2019-08-13 15:38:14.798] ,Not Raining,1020,725,34.76,57.7,25.19,202500,mango
[2019-08-13 15:38:16.140] ,Not Raining,1020,725,34.75,57.76,25.2,205000,mango
[2019-08-13 15:38:17.483] ,Not Raining,1017,716,34.75,57.76,25.2,205000,mango
[2019-08-13 15:38:18.828] ,Not Raining,981,725,34.76,57.89,25.25,210000,mango
[2019-08-13 15:38:20.168] ,Not Raining,1015,725,34.74,57.86,25.22,230000,mango
[2019-08-13 15:38:21.513] ,Not Raining,1017,725,34.74,57.99,25.25,245000,mango
[2019-08-13 15:38:22.855] ,Not Raining,1016,725,34.73,58.02,25.25,245000,mango
[2019-08-13 15:38:24.201] ,Not Raining,1016,725,34.72,58.05,25.25,267500,mango
[2019-08-13 15:38:25.544] ,Not Raining,1016,725,34.73,58.14,25.29,280000,mango
[2019-08-13 15:38:26.884] ,Not Raining,1016,725,34.72,57.79,25.18,280000,mango
[2019-08-13 15:38:28.228] ,Not Raining,1017,725,34.73,57.47,25.09,302500,mango
[2019-08-13 15:38:29.571] ,Not Raining,1017,725,34.71,57.28,25.02,320000,mango
[2019-08-13 15:38:30.917] ,Not Raining,1016,724,34.71,56.99,24.93,320000,mango
[2019-08-13 15:38:32.256] ,Not Raining,1016,725,34.71,56.57,24.81,337500,mango
[2019-08-13 15:38:33.601] ,Not Raining,1017,725,34.69,56.28,24.71,352500,mango
[2019-08-13 15:38:34.944] ,Not Raining,1017,725,34.7,56.12,24.67,352500,mango
[2019-08-13 15:38:36.288] ,Not Raining,1017,725,34.68,55.99,24.61,352500,mango
[2019-08-13 15:38:37.632] ,Not Raining,1017,724,34.69,55.99,24.62,352500,mango
[2019-08-13 15:38:38.969] ,Not Raining,1017,725,34.69,55.99,24.62,452500,mango
[2019-08-13 15:38:40.311] ,Not Raining,1016,725,34.69,56.09,24.65,390000,mango
[2019-08-13 15:38:41.656] ,Not Raining,1017,725,34.67,56.25,24.68,387500,mango
[2019-08-13 15:38:43.002] ,Not Raining,1017,725,34.67,56.34,24.71,462500,mango
[2019-08-13 15:38:44.344] ,Not Raining,1017,725,34.67,56.6,24.78,382500,mango
[2019-08-13 15:38:45.688] ,Not Raining,1017,725,34.66,56.85,24.85,380000,mango
[2019-08-13 15:38:47.031] ,Not Raining,1017,725,34.65,56.95,24.87,430000,mango
[2019-08-13 15:38:48.373] ,Not Raining,1017,725,34.66,57.05,24.9,380000,mango
[2019-08-13 15:38:49.715] ,Not Raining,1017,725,34.65,57.11,24.91,375000,mango
[2019-08-13 15:38:51.061] ,Not Raining,1017,725,34.62,57.2,24.91,415000,mango
[2019-08-13 15:38:52.402] ,Not Raining,1017,725,34.66,57.33,24.99,377500,mango
[2019-08-13 15:38:53.746] ,Not Raining,1017,725,34.65,57.4,25,380000,mango
[2019-08-13 15:38:55.086] ,Not Raining,1017,725,34.61,57.46,24.98,370000,mango
[2019-08-13 15:38:56.432] ,Not Raining,1017,725,34.65,57.62,25.06,370000,mango
[2019-08-13 15:38:57.774] ,Not Raining,1017,725,34.66,57.78,25.12,377500,mango
[2019-08-13 15:38:59.115] ,Not Raining,1017,725,34.59,57.93,25.1,375000,mango
[2019-08-13 15:39:00.461] ,Not Raining,1017,725,34.64,57.94,25.15,377500,mango
[2019-08-13 15:39:01.804] ,Not Raining,1017,725,34.64,58.04,25.17,377500,mango
[2019-08-13 15:39:03.146] ,Not Raining,1017,725,34.58,58.03,25.12,375000,mango
[2019-08-13 15:39:04.489] ,Not Raining,1017,725,34.63,57.91,25.13,375000,mango
[2019-08-13 15:39:05.830] ,Not Raining,1017,725,34.64,57.84,25.12,372500,mango
[2019-08-13 15:39:07.171] ,Not Raining,1017,725,34.57,57.64,24.99,370000,mango
[2019-08-13 15:39:08.518] ,Not Raining,1017,725,34.62,57.68,25.05,372500,mango
[2019-08-13 15:39:09.859] ,Not Raining,1017,725,34.63,57.91,25.13,367500,mango
[2019-08-13 15:39:11.205] ,Not Raining,1017,725,34.57,58.15,25.14,367500,mango
[2019-08-13 15:39:12.549] ,Not Raining,1017,725,34.62,58.19,25.2,367500,mango
[2019-08-13 15:39:13.892] ,Not Raining,1017,725,34.62,58.06,25.16,367500,mango
[2019-08-13 15:39:15.234] ,Not Raining,958,705,34.59,57.93,25.1,372500,mango
[2019-08-13 15:39:16.572] ,Not Raining,1017,725,34.61,57.81,25.08,372500,mango
[2019-08-13 15:39:17.919] ,Not Raining,1017,725,34.62,57.78,25.08,367500,mango
[2019-08-13 15:39:19.259] ,Not Raining,976,711,34.6,57.87,25.09,362500,mango
[2019-08-13 15:39:20.601] ,Not Raining,1017,725,34.61,58.1,25.16,362500,mango
[2019-08-13 15:39:21.945] ,Not Raining,1017,725,34.6,58.48,25.26,367500,mango
[2019-08-13 15:39:23.292] ,Not Raining,986,714,34.61,58.73,25.35,362500,mango
[2019-08-13 15:39:24.635] ,Not Raining,1017,724,34.61,59.02,25.43,362500,mango
[2019-08-13 15:39:25.979] ,Not Raining,1017,725,34.6,59.18,25.47,362500,mango
[2019-08-13 15:39:27.320] ,Not Raining,1009,724,34.6,59.02,25.42,362500,mango
[2019-08-13 15:39:28.658] ,Not Raining,1017,724,34.6,58.92,25.39,362500,mango
[2019-08-13 15:39:30.004] ,Not Raining,1017,725,34.61,58.92,25.4,365000,mango
[2019-08-13 15:39:31.346] ,Not Raining,1017,725,34.6,58.76,25.35,362500,mango
[2019-08-13 15:39:32.691] ,Not Raining,1017,725,34.59,58.54,25.27,362500,mango
[2019-08-13 15:39:34.032] ,Not Raining,1017,724,34.61,58.41,25.26,362500,mango
[2019-08-13 15:39:35.374] ,Not Raining,1017,725,34.6,58.29,25.21,362500,mango
[2019-08-13 15:39:36.719] ,Not Raining,1017,725,34.59,58.22,25.18,362500,mango
[2019-08-13 15:39:38.064] ,Not Raining,1017,725,34.59,58.16,25.16,362500,mango
[2019-08-13 15:39:39.410] ,Not Raining,1017,724,34.58,58.12,25.14,362500,mango
[2019-08-13 15:39:40.750] ,Not Raining,1017,725,34.58,58.12,25.14,362500,mango
[2019-08-13 15:39:42.089] ,Not Raining,1017,725,34.58,58.15,25.15,362500,mango
[2019-08-13 15:39:43.431] ,Not Raining,1017,725,34.59,58.25,25.19,362500,mango
[2019-08-13 15:39:44.776] ,Not Raining,1017,724,34.58,58.41,25.23,360000,mango
[2019-08-13 15:39:46.121] ,Not Raining,1017,725,34.58,58.6,25.28,362500,mango
[2019-08-13 15:39:47.464] ,Not Raining,1017,725,34.57,58.79,25.33,362500,mango
[2019-08-13 15:39:48.807] ,Not Raining,1017,725,34.57,58.82,25.34,450000,mango
[2019-08-13 15:39:50.149] ,Not Raining,1017,725,34.57,58.85,25.34,357500,mango
[2019-08-13 15:39:51.495] ,Not Raining,1017,725,34.56,58.79,25.32,357500,mango
[2019-08-13 15:39:52.835] ,Not Raining,1017,725,34.56,58.6,25.26,422500,mango
[2019-08-13 15:39:54.177] ,Not Raining,1017,725,34.56,58.53,25.24,365000,mango
